,Aggressive Advances,Cautious Advances,Distracted Advances,Learning Advances,Run,,,,,,
93,64,32,0,0,3,,,,,,
94,66,33,0,0,3,,,,,,
95,34,0,0,0,3,,,,,,
96,7,5,9,9,3,,,,,,
97,14,10,18,18,3,,,,,,
98,21,9,27,27,3,,,,,,
99,28,12,36,36,3,,,,,,
0,7,5,11,7,4,,,,,,
1,14,10,22,14,4,,,,,,
2,21,15,30,21,4,,,,,,
3,28,20,40,28,4,,,,,,
4,35,25,50,35,4,,,,,,
5,42,30,60,42,4,,,,,,
6,49,35,70,49,4,,,,,,
7,56,40,80,56,4,,,,,,
8,63,45,90,63,4,,,,,,
9,70,50,100,60,4,,,,,,
10,66,55,110,66,4,,,,,,
11,72,60,120,72,4,,,,,,
12,78,65,130,78,4,,,,,,
13,84,70,140,84,4,,,,,,
14,90,75,150,90,4,,,,,,
15,80,48,144,96,4,,,,,,
16,85,34,153,85,4,,,,,,
17,90,36,162,90,4,,,,,,
18,95,38,171,95,4,,,,,,
19,60,20,180,100,4,,,,,,
20,63,21,168,105,4,,,,,,
21,66,22,176,110,4,,,,,,
22,69,23,161,115,4,,,,,,
23,72,24,168,120,4,,,,,,
24,50,25,175,125,4,,,,,,
25,52,26,182,104,4,,,,,,
26,54,27,135,54,4,,,,,,
27,56,28,140,56,4,,,,,,
28,58,29,116,58,4,,,,,,
29,60,0,60,60,4,,,,,,
30,31,0,31,0,4,,,,,,
31,5,7,10,8,4,,,,,,
32,10,14,20,16,4,,,,,,
33,15,21,30,21,4,,,,,,
34,20,28,40,28,4,,,,,,
35,25,35,50,35,4,,,,,,
36,30,42,60,42,4,,,,,,
37,35,49,70,49,4,,,,,,
38,40,56,80,56,4,,,,,,
39,45,63,90,63,4,,,,,,
40,50,70,100,70,4,,,,,,
41,55,77,110,77,4,,,,,,
42,48,84,108,84,4,,,,,,
43,52,91,117,78,4,,,,,,
44,56,84,126,84,4,,,,,,
45,60,75,135,75,4,,,,,,
46,64,80,128,80,4,,,,,,
47,68,85,119,85,4,,,,,,
48,72,90,126,90,4,,,,,,
